Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(C)     float   x64     00002   00512   0,0458  0,3411
Java_ver(C)     float   x64     00003   00512   0,0358  0,2667
Java_ver(C)     float   x64     00004   00512   0,0384  0,2862
Java_ver(D)     float   x64     00000   00512   0,0459  0,3418
Java_ver(D)     float   x64     00001   00512   0,0392  0,2919
Java_ver(D)     float   x64     00002   00512   0,0422  0,3141
Java_ver(D)     float   x64     00003   00512   0,0487  0,3627
Java_ver(D)     float   x64     00004   00512   0,0535  0,3989
Java_ver(E)     float   x64     00000   00512   0,5849  4,3577
Java_ver(E)     float   x64     00001   00512   0,5846  4,3553
Java_ver(E)     float   x64     00002   00512   0,4553  3,3922
Java_ver(E)     float   x64     00003   00512   0,5283  3,9364
Java_ver(E)     float   x64     00004   00512   0,5315  3,9600
Java_ver(F)     float   x64     00000   00512   0,6409  4,7753
Java_ver(F)     float   x64     00001   00512   0,6832  5,0901
Java_ver(F)     float   x64     00002   00512   0,6199  4,6183
Java_ver(F)     float   x64     00003   00512   0,6457  4,8111
Java_ver(F)     float   x64     00004   00512   0,5978  4,4536

Testing matrix size: 836
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00836   0,4028  0,6893
Java_ver(A)     float   x64     00001   00836   0,4012  0,6867
Java_ver(A)     float   x64     00002   00836   0,4094  0,7006
Java_ver(A)     float   x64     00003   00836   0,4274  0,7315
Java_ver(A)     float   x64     00004   00836   0,4358  0,7460
Java_ver(B)     float   x64     00000   00836   0,4034  0,6905
Java_ver(B)     float   x64     00001   00836   0,4035  0,6906
Java_ver(B)     float   x64     00002   00836   0,4246  0,7268
Java_ver(B)     float   x64     00003   00836   0,4247  0,7269
Java_ver(B)     float   x64     00004   00836   0,4224  0,7229
Java_ver(C)     float   x64     00000   00836   0,1743  0,2983
Java_ver(C)     float   x64     00001   00836   0,1663  0,2846
Java_ver(C)     float   x64     00002   00836   0,1942  0,3323
Java_ver(C)     float   x64     00003   00836   0,1531  0,2621
Java_ver(C)     float   x64     00004   00836   0,1615  0,2764
Java_ver(D)     float   x64     00000   00836   0,1698  0,2906
Java_ver(D)     float   x64     00001   00836   0,1622  0,2777
Java_ver(D)     float   x64     00002   00836   0,1703  0,2915
Java_ver(D)     float   x64     00003   00836   0,1857  0,3178
Java_ver(D)     float   x64     00004   00836   0,1715  0,2935
Java_ver(E)     float   x64     00000   00836   0,6244  1,0686
