PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...
Py_ver(E)       double  x64     00004   00256   5.2538  313.1489
Py_ver(F)       double  x64     00000   00256   5.2052  310.2543
Py_ver(F)       double  x64     00001   00256   5.4132  322.6533
Py_ver(F)       double  x64     00002   00256   5.2020  310.0614
Py_ver(F)       double  x64     00003   00256   4.9977  297.8877
Py_ver(F)       double  x64     00004   00256   5.1850  309.0521

Testing matrix size: 362
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00362   13.2442 279.1896
Py_ver(A)       float   x64     00001   00362   13.6270 287.2604
Py_ver(A)       float   x64     00002   00362   14.7418 310.7607
Py_ver(A)       float   x64     00003   00362   13.4063 282.6062
Py_ver(A)       float   x64     00004   00362   14.0114 295.3618
Py_ver(B)       float   x64     00000   00362   14.4664 304.9542
Py_ver(B)       float   x64     00001   00362   14.2878 301.1898
Py_ver(B)       float   x64     00002   00362   13.5354 285.3294
Py_ver(B)       float   x64     00003   00362   14.0643 296.4776
Py_ver(B)       float   x64     00004   00362   13.9721 294.5333
Py_ver(C)       float   x64     00000   00362   16.4221 346.1816
Py_ver(C)       float   x64     00001   00362   16.1120 339.6443
Py_ver(C)       float   x64     00002   00362   18.1330 382.2475
Py_ver(C)       float   x64     00003   00362   16.1904 341.2969
Py_ver(C)       float   x64     00004   00362   15.6126 329.1160
Py_ver(D)       float   x64     00000   00362   15.9255 335.7125
Py_ver(D)       float   x64     00001   00362   15.8625 334.3846
Py_ver(D)       float   x64     00002   00362   16.1585 340.6232
Py_ver(D)       float   x64     00003   00362   16.2305 342.1409
Py_ver(D)       float   x64     00004   00362   16.2004 341.5078
Py_ver(E)       float   x64     00000   00362   15.8360 333.8259
Py_ver(E)       float   x64     00001   00362   16.1717 340.9026
Py_ver(E)       float   x64     00002   00362   15.5062 326.8734
Py_ver(E)       float   x64     00003   00362   16.2454 342.4560
Py_ver(E)       float   x64     00004   00362   14.3341 302.1644
Py_ver(F)       float   x64     00000   00362   13.6704 288.1747
Py_ver(F)       float   x64     00001   00362   13.5890 286.4576
Py_ver(F)       float   x64     00002   00362   13.6815 288.4081
Py_ver(F)       float   x64     00003   00362   14.0573 296.3301
Py_ver(F)       float   x64     00004   00362   13.7407 289.6566
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00362   11.5863 244.2422
Py_ver(A)       double  x64     00001   00362   11.5733 243.9664
Py_ver(A)       double  x64     00002   00362   11.6297 245.1553
Py_ver(A)       double  x64     00003   00362   11.6444 245.4665
Py_ver(A)       double  x64     00004   00362   11.5303 243.0613
Py_ver(B)       double  x64     00000   00362   11.5889 244.2957
Py_ver(B)       double  x64     00001   00362   11.5718 243.9355
Py_ver(B)       double  x64     00002   00362   11.5523 243.5236
Py_ver(B)       double  x64     00003   00362   11.6100 244.7399
Py_ver(B)       double  x64     00004   00362   12.0384 253.7724
Py_ver(C)       double  x64     00000   00362   13.7720 290.3162
Py_ver(C)       double  x64     00001   00362   13.7256 289.3376
Py_ver(C)       double  x64     00002   00362   13.7597 290.0573
Py_ver(C)       double  x64     00003   00362   14.1181 297.6119
Py_ver(C)       double  x64     00004   00362   13.8201 291.3295
Py_ver(D)       double  x64     00000   00362   13.7665 290.2007
Py_ver(D)       double  x64     00001   00362   13.7875 290.6423
Py_ver(D)       double  x64     00002   00362   13.8347 291.6380
Py_ver(D)       double  x64     00003   00362   13.7510 289.8734
Py_ver(D)       double  x64     00004   00362   13.7214 289.2500
Py_ver(E)       double  x64     00000   00362   13.5457 285.5454
